1,26,1
1,9,2
1,4,3
1,29,4
1,6,4
1,7,5
1,20,5
1,22,3
1,29,4
1,30,4
2,14,5
2,1,3
2,8,4
2,11,2
2,22,5
2,3,5
2,22,2
2,1,4
2,6,4
2,27,1
2,20,5
2,13,3
2,9,1
2,21,4
3,3,4
3,3,5
3,19,2
3,30,2
3,7,2
3,3,4
3,8,3
3,11,1
4,11,5
4,9,1
4,22,4
4,13,1
4,14,1
4,21,2
4,15,2
4,3,2
4,27,2
5,18,4
5,29,2
5,5,2
5,12,4
5,8,5
5,17,3
5,30,3
5,21,1
5,15,1
6,16,1
6,25,3
6,26,4
6,25,3
6,22,1
6,2,3
6,28,5
6,15,5
6,26,4
7,2,1
7,10,3
7,3,4
7,7,1
7,29,5
7,3,3
7,14,1
7,27,3
8,26,1
8,21,1
8,22,3
8,24,4
8,23,3
8,1,4
8,17,3
8,9,1
9,14,5
9,24,2
9,10,1
9,27,5
9,17,3
9,25,2
9,6,3
9,25,3
9,22,1
9,9,1
9,30,2
9,30,3
9,4,5
10,17,4
10,17,5
10,23,5
10,3,3
10,10,5
10,9,4
10,12,5
10,24,1
10,19,2
10,3,3
10,15,3
10,8,2
